symbol,peRatio,pbRatio,pcfRatio,pca_clusters
WAB,35.95153,1.57488,17.23021,2
WBA,20.73062,1.87918,12.56403,2
WDC,21.11606,1.59358,8.42413,2
WEC,22.37167,2.66131,12.45976,2
WFC,13.29097,1.10508,7.73156,2
WHR,6.85333,2.61683,5.575,2
WLTW,19.32358,2.52978,13.05877,2
WM,40.63062,8.74314,18.76944,2
WMB,26.09761,2.61374,10.10829,2
WMT,40.30276,4.95683,18.75875,2
WRB,14.40705,1.93427,11.83481,2
WY,11.58401,2.54205,9.59963,2
XEL,21.57844,2.30323,9.11655,2
XRAY,35.35601,2.55276,17.98151,2
ZBH,32.00308,2.36876,14.9444,2
ZION,8.31711,1.18315,19.29858,2
